別紙 1(ISMS-L05-01_秘密保持契約書_第 1.0)	0	e
月前までに甲乙いずれか一方から相手方に対し何らの申し出がないときは、本契約は更に1年間継続するものと	0	c
し、その後も同様とする。	-1	s
  本契約の成立を証するため、本契約書2通を作成し、甲乙記名捺印のうえ、各1通を保有する。	0	s
        ○○○○年○月○日	0	x
甲    東京都千代田区二番町3番地  麹町スクエア  7階	0	x
公益財団法人  日本産業廃棄物処理振興センター	0	x
理事長        関  荘一郎	0	x
乙    ○○○○	0	x
○○○○	0	x
○○○      ○○  ○○	0	x
